ruta,error,cuantos
4185910,3,11
4185910,4,153
4185910,5,3
4185910,6,5
4185996,3,4
4186018,1,4
4186018,3,4
4186018,4,1
4186088,1,20
4186088,3,13
4186088,4,2
4186088,5,1
4186325,1,5
4186325,3,9
4186325,4,2
4193499,1,3
4193499,3,7
4193499,4,3
4203897,1,7
4203897,3,9
4203897,4,2
4204154,1,5
4204154,3,9
4204283,3,8
4204283,4,2
4204339,1,4
4204339,3,14
4207525,1,3
4207525,3,1
4207599,1,6
4210264,3,16
4210264,4,2
4210468,1,8
4210468,3,6
4210468,4,4
4211259,3,11
4211259,5,1
4213726,1,6
4213726,3,2
4213726,4,8
4213873,1,5
4213873,3,1
4213873,4,1
4214218,1,4
4214218,3,12
4214218,4,1
4214222,1,10
4214222,3,6
4214222,4,3
4217348,8,2
4217348,1,13
4217348,3,11
4217348,4,1
4217348,14,1
4218929,1,5
4218929,3,3
4218937,1,5
4218937,3,3
4218948,1,10
4218948,3,4
4218959,1,6
4218959,3,2
4218962,1,16
4220163,1,11
4220163,3,11
4220163,4,4
4220287,1,7
4220287,3,7
4220287,4,1
4220334,1,12
4220334,3,4
4220334,4,3
4220382,1,6
4220382,3,6
4220382,4,1
4220430,1,3
4220430,3,9
4220430,4,2
4222134,1,8
4222134,3,10
4222134,4,1
4222786,8,2
4222786,1,6
4222786,3,2
4222786,14,1
4222791,3,14
4222791,4,2
4223687,1,8
4223687,3,6
4223687,4,2
4223798,3,10
4223798,4,5
4223946,1,11
4223946,3,23
4223946,4,4
4224043,1,18
4224043,3,10
4224043,4,2
4224064,1,11
4224064,3,9
4224064,4,3
4224140,1,8
4224140,3,6
4224140,4,4
4224171,1,4
4224171,3,10
4224171,4,1
4224333,1,15
4224333,3,11
4224333,4,2
4224344,1,7
4224344,3,5
4224366,1,8
4224366,3,8
4224366,4,2
4224369,1,5
4224369,3,5
4224379,8,2
4224379,1,8
4224379,3,4
4224379,14,1
4224382,1,7
4224382,3,3
4224382,4,1
4224390,1,11
4224390,3,5
4224390,4,2
4224398,1,5
4224398,3,9
4224413,1,8
4224413,3,12
4224413,4,4
4224422,8,2
4224422,1,4
4224422,3,4
4224422,14,1
4224455,1,8
4224455,3,13
4224455,6,3
4224455,9,1
4224455,10,1
4224455,12,1
4226842,1,6
4226842,3,4
4226864,8,2
4226864,3,10
4226864,14,1
4227134,3,16
4227168,1,11
4227168,3,5
4227168,4,3
4227218,8,2
4227218,3,2
4227218,14,1
4227246,1,4
4227246,3,14
4227339,1,3
4227339,3,11
4227378,3,4
4227460,8,2
4227460,14,1
4227527,3,2
4227527,4,2
4227549,1,8
4227549,3,2
4227584,1,12
4227584,3,4
4227584,4,1
4230140,1,11
4230140,3,19
4230140,4,2
4230229,1,5
4230229,3,7
4230229,4,3
4230265,1,5
4230265,3,17
4230265,4,2
4230381,8,2
4230381,1,5
4230381,3,19
4230381,4,2
4230381,14,1
4230503,1,11
4230503,3,25
4230503,4,7
4230503,5,2
4230845,1,8
4230845,3,16
4230845,4,2
4238954,1,7
4238954,3,7
4238954,4,2
4239855,9,1
4239855,3,7
4239855,12,1
4239855,6,1
4239855,1,10
4240062,1,7
4240062,3,18
4240062,4,9
4240062,5,3
4240062,6,1
4240062,8,1
4240191,1,3
4240191,3,17
4240191,4,6
4240191,6,1
4240224,1,6
4240224,3,8
4240306,8,2
4240306,1,4
4240306,3,12
4240306,14,1
4242615,3,7
4242615,5,1
4244341,1,4
4244341,3,16
4244341,4,4
4245781,3,10
4245804,1,9
4245804,3,9
4245804,4,5
4245910,1,10
4245910,3,28
4245910,4,6
4245910,5,2
4245910,6,1
4245910,8,1
4245915,8,2
4245915,1,8
4245915,3,14
4245915,4,2
4245915,14,1
4245920,8,2
4245920,1,13
4245920,3,13
4245920,4,3
4245920,14,1
4248191,1,7
4248191,3,3
4248299,1,9
4248299,3,22
4248299,4,4
4248299,5,1
4248438,1,9
4248438,3,9
4252696,1,9
4252696,3,5
4252751,1,5
4252751,3,5
4252790,1,11
4252790,3,13
4252790,4,3
4261592,1,7
4261592,3,13
4261592,4,1
4261607,1,5
4261607,3,13
4261629,1,11
4261629,3,27
4261629,4,1
4261629,5,2
4261655,1,6
4261655,3,18
4261655,4,7
4261655,5,1
4261655,6,1
4261655,9,1
4261655,12,1
4267328,1,11
4267328,3,21
4267328,4,1
4269638,3,16
4269667,3,2
4270170,3,4
4270204,3,8
4270225,3,8
4273938,8,1
4273938,1,5
4273938,3,4
4273938,14,1
4273938,9,1
4273943,8,1
4273943,3,3
4273943,14,1
4273943,9,1
4273945,8,1
4273945,1,3
4273945,3,6
4273945,14,1
4273945,9,1
4273973,3,4
4275106,1,3
4275106,3,19
4275106,4,3
4275106,5,4
4275106,6,1
4275106,8,1
4275199,1,4
4275199,3,16
4275199,5,1
4275199,6,2
4275199,9,1
4275199,12,1
4275251,3,14
4275251,4,2
4276570,1,3
4276570,3,11
4276585,1,3
4276585,3,9
4276585,4,2
4276630,4,1
4276630,3,5
4276630,12,1
4276630,1,5
4276630,7,2
4276653,1,3
4276653,3,3
4276660,1,3
4276660,3,3
4276666,1,15
4276666,3,5
4276666,12,1
4276666,7,2
4439267,1,8
4439267,3,14
4439267,4,3
4439529,1,9
4439529,3,11
4439529,4,6
4439613,8,1
4439613,1,7
4439613,3,15
4439613,4,4
4439613,5,2
4442976,1,12
4442976,3,16
4442976,4,1
4443104,1,9
4443104,3,13
4443104,4,6
4443141,1,10
4443141,3,14
4443141,4,19
4443210,1,5
4443210,3,5
4443293,1,6
4443293,3,12
4443293,4,4
4443365,1,8
4443365,3,7
4443365,4,18
4443365,5,1
4443463,1,9
4443463,3,11
4443463,4,10
4446025,1,7
4446025,3,15
4446025,6,1
4446214,1,5
4446214,3,11
4446214,12,1
4446214,4,2
4446214,7,2
4446296,1,3
4446296,3,3
4446296,12,1
4446296,4,2
4446296,7,2
4446364,1,5
4446364,3,5
4455258,1,16
4455258,3,20
4455258,4,3
4455342,1,5
4455342,3,3
4455406,1,6
4455406,3,12
4455406,4,3
4455406,6,1
4455529,1,7
4455529,3,9
4455529,4,9
4455849,1,7
4455849,3,11
4455849,4,2
4459515,1,5
4459515,3,11
4459515,4,11
4459572,1,3
4459572,3,7
4459572,4,55
4459740,1,21
4459740,3,9
4459740,4,6
4459740,6,1
4459792,1,5
4459792,3,13
4459792,4,1
4459804,1,5
4459804,3,11
4459804,4,9
4459832,1,11
4459832,3,3
4459832,12,1
4459832,7,2
4460622,1,4
4460622,3,4
4460697,8,2
4460697,1,8
4460697,3,2
4460697,4,1
4460697,14,1
4460728,1,4
4460728,3,2
4460768,1,3
4460768,3,3
4462180,1,3
4462180,3,5
4462202,1,18
4462202,3,10
4462202,4,1
4462258,1,5
4462258,3,3
4462264,1,3
4462264,3,3
4462264,4,1
4462275,1,4
4462275,3,10
4462275,4,5
4462275,5,2
4462275,6,1
4462293,1,4
4462293,3,7
4462293,4,10
4462293,5,2
4462293,6,1
4462293,7,1
4462305,3,8
4462305,4,2
4462305,5,1
4462305,7,1
4462305,10,1
4462358,1,4
4462358,10,1
4462358,6,2
4462372,1,6
4462372,10,1
4462372,6,2
4464531,8,1
4464531,1,11
4464531,3,7
4464531,4,6
4464531,6,2
4464649,8,1
4464649,1,5
4464649,3,3
4464649,5,2
4464670,8,1
4464670,1,4
4464670,5,2
4464686,1,4
4464686,3,11
4464686,4,3
4464686,5,1
4464686,6,2
4464806,1,5
4464806,3,7
4464806,4,4
4464806,6,1
4464855,1,13
4464855,3,7
4464855,4,5
4464913,1,4
4464913,3,4
4466970,4,1
4467006,4,1
4467064,4,1
4467102,1,4
4467102,3,2
4467149,1,6
4467149,3,3
4467149,4,2
4467149,5,1
4467172,1,9
4467172,3,7
4467172,4,1
4467284,1,4
4467284,3,16
4467284,4,2
4467454,1,4
4467454,3,14
4467454,4,5
4467486,1,6
4467486,3,4
4467510,1,5
4467510,3,7
4467510,4,1
4467530,1,3
4467530,3,5
4467530,4,1
4470459,1,3
4470459,3,9
4470459,4,15
4470605,1,5
4470605,3,19
4470605,4,1
4470758,1,11
4470758,3,7
4470877,1,5
4470877,3,1
4470960,1,12
4470960,3,8
4470960,4,4
4471025,1,9
4471025,3,7
4471025,4,3
4471042,1,6
4471042,3,4
4471042,4,1
4471051,3,6
4471063,1,8
4471063,3,18
4471063,4,1
4471074,1,7
4471074,3,5
4475645,1,8
4475645,3,4
4475645,4,1
4476395,1,6
4476395,3,6
4476425,3,6
4476425,4,1
4476477,1,4
4476537,3,2
4476549,1,3
4476549,3,7
4476549,4,2
4479367,1,4
4479736,3,2
4479831,1,8
4479831,3,2
4480094,1,5
4480094,3,3
4480094,4,1
4480142,1,9
4480142,3,3
4480142,4,1
4480173,1,10
4480173,3,4
4480192,1,6
4480192,3,2
4486701,1,6
4486701,10,6
4486701,3,14
4486701,4,19
4486701,6,2
4500153,1,11
4500153,3,7
4500153,4,5
4510633,1,6
4510633,3,2
4522126,1,4
4522217,3,14
4522217,4,6
4522321,1,5
4522321,3,1
4522665,1,4
4522665,3,2
4522665,4,1
4525304,1,5
4525304,3,9
4525304,4,5
4525408,1,4
4525408,3,6
4537215,1,3
4537215,3,5
4537215,4,10
4537820,1,4
4537820,3,2
4537820,4,3
4538948,3,6
4538948,4,1
4540483,3,6
4540483,4,6
